image_number,nft_name,nft_description,attributes.signed,attributes.reversed,attributes.augmented_reality
203,Idrocrase,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
204,Masteris,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
205,Mysti,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
206,Nebula,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
207,Phoroneus,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
208,Spaceeyes,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
209,Rhodonite,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
210,Tlasnai,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
211,Zeffi,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
212,Boleite,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
213,Ametrine,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
214,Plexxica,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
215,Yassine,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",TRUE,TRUE,FALSE
216,Agate,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,TRUE,FALSE
217,Brenk,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,TRUE
218,Amazonia,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,TRUE
219,Cyclopean,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,TRUE
220,Colossal,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,TRUE
221,Onyx,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,TRUE
